,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,JCPenny,a.n.a-Womens Round Neck Short Sleeve T-Shirt,top,8420231,08/14/2020 18:20:09,a.n.a-Womens Round Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/ana-womens-round-neck-short-sleeve-t-shirt/ppr5007999287?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new%7Cpetite&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$6.99,fabric content: 100% cotton, ,100% , , , , , , , , , , , 
1,JCPenny,Danny & Nicole Sleeveless Floral Fit & Flare Dress,dress,2233121,08/14/2020 18:20:19,"Danny & Nicole Sleeveless Floral Fit & Flare Dress, Color: Ivory Mult - JCPenney",https://www.jcpenney.com/p/danny-nicole-sleeveless-floral-fit-flare-dress/ppr5007944251?pTmplType=regular&deptId=dept20000013&catId=cat100210008&urlState=%2Fg%2Fwomen%2Fwomens-dresses%3Fboostids%3Dppr5007944251%26id%3Dcat100210008&productGridView=medium&badge=fewleft%7Ccollection&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-_-VN-2-_-DRESSES-_-DESKTOP_2,$49.99,"fabric content: 97% cotton, 3% spandex", ,97% , , , , ,3% , , , , , , 
2,JCPenny,Worthington Womens Curvy Fit Perfect Trouser,other,8167066,08/14/2020 18:20:30,Worthington Womens Curvy Fit Perfect Trouser - JCPenney,https://www.jcpenney.com/p/worthington-womens-curvy-fit-perfect-trouser/ppr5007240227?pTmplType=regular&deptId=dept20000013&catId=cat100250095&urlState=%2Fg%2Fwomen%2Fwomens-pants%3Fid%3Dcat100250095&productGridView=medium&badge=onlyatjcp%7Ccollection&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-_-VN-3-_-PANTS-_-DESKTOP_3,$29.99,"fabric content: 75% polyester, 19% rayon, 6% spandex", , ,75% , ,19% , ,6% , , , , , , 
3,JCPenny,a.n.a Womens Knit Waist Short,bottoms,8440526,08/14/2020 18:20:41,a.n.a Womens Knit Waist Short - JCPenney,https://www.jcpenney.com/p/ana-womens-knit-waist-short/ppr5007932686?pTmplType=regular&deptId=dept20000013&catId=cat100250098&urlState=%2Fg%2Fwomen%2Fwomens-shorts%3Fid%3Dcat100250098&productGridView=medium&badge=onlyatjcp&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-5-_-SHORTS-_-DESKTOP_5,$12.99,"fabric content: 98% cotton, 2% spandex", ,98% , , , , ,2% , , , , , , 
4,JCPenny,St. John's Bay Womens Mid Rise Straight Leg Jean,bottoms,8463016,08/14/2020 18:20:52,St. John's Bay Womens Mid Rise Straight Leg Jean - JCPenney,https://www.jcpenney.com/p/st-johns-bay-womens-mid-rise-straight-leg-jean/pp5007960080?pTmplType=regular&deptId=dept20000013&catId=cat100250096&urlState=%2Fg%2Fwomen%2Fwomens-jeans%3Fid%3Dcat100250096&productGridView=medium&badge=onlyatjcp%7Cpetite&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-7-_-JEANS-_-DESKTOP_7,$24.99,"fabric content: 78% cotton, 20% polyester, 2% spandex", ,78% ,20% , , , ,2% , , , , , , 
5,JCPenny,Worthington Womens High Rise Midi Pleated Skirt,bottoms,8202002,08/14/2020 18:21:03,"Worthington Womens High Rise Midi Pleated Skirt, Color: Marble - JCPenney",https://www.jcpenney.com/p/worthington-womens-high-rise-midi-pleated-skirt/ppr5007939047?pTmplType=regular&deptId=dept20000013&catId=cat100250097&urlState=%2Fg%2Fwomen%2Fwomens-skirts%3Fid%3Dcat100250097&productGridView=medium&badge=fewleft%7Cpetite&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-8-_-SKIRTS-_-DESKTOP_8,$29.99,fabric content: 100% polyester, , ,100% , , , , , , , , , , 
