,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,Bershka,Sweatpants with a tie-dye print,bottoms,Ref 0192/831/250,10/16/2020 17:28:50,Sweatpants with a tie-dye print - Pants - Woman | Bershka,https://www.bershka.com/us/women/collection/pants/sweatpants-with-a-tie-dye-print-c1010193216p102482306.html?colorId=250,$35.90,"composition
outer
100% cotton", ,100% , , , , , , , , , , , 
1,Bershka,Oversized hoodie,outterwear/jacket,Ref 6846/372/712,10/16/2020 17:29:06,Oversized hoodie - Sweatshirts and Hoodies - Woman | Bershka,https://www.bershka.com/us/women/collection/sweatshirts-and-hoodies/oversized-hoodie-c1010193222p102537568.html?colorId=712,$35.90,"composition
main fabric
42% cotton
main fabric
58% polyester
details
48% cotton
details
50% polyester
details
2% elastane
lining
52% polyester
48% cotton", ,42% /48% /48% ,58% /50% /52% , , , , , , , ,2% , , 
