,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,GAP,Adult Contour Mask with Filter Pocket (3-Pack),ignore,#664217,10/16/2020 17:53:22,Adult Contour Mask with Filter Pocket (3-Pack) | Gap,https://www.gap.com/browse/product.do?pid=664217022&cid=1127938&pcid=1127938&vid=1&grid=pds_0_3218_1&cpos=0&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20101614505748280559549,$18.00,100% cotton., ,100% , , , , , , , , , , , 
1,GAP,Adult Contour Mask with Filter Pocket (3-Pack),ignore,#664217,10/16/2020 17:53:31,Adult Contour Mask with Filter Pocket (3-Pack) | Gap,https://www.gap.com/browse/product.do?pid=664217002&cid=1127938&pcid=1127938&vid=1&grid=pds_1_3218_1&cpos=1&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20101614505748280559549,$18.00,100% cotton., ,100% , , , , , , , , , , , 
2,GAP,Rubber Flip-Flops,ignore,#546665,10/16/2020 17:53:39,Rubber Flip-Flops | Gap,https://www.gap.com/browse/product.do?pid=546665032&cid=1127938&pcid=1127938&vid=1&grid=pds_2_3218_1&cpos=2&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20101614505748280559549,$2.99,rubber., , , , , , , , , , , , , 
3,GAP,Rubber Flip-Flops,ignore,#546665,10/16/2020 17:53:47,Rubber Flip-Flops | Gap,https://www.gap.com/browse/product.do?pid=546665042&cid=1127938&pcid=1127938&vid=1&grid=pds_3_3218_1&cpos=3&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20101614505748280559549,$2.99,rubber., , , , , , , , , , , , , 
4,GAP,Modern Crewneck T-Shirt,top,#241908,10/16/2020 17:53:55,Modern Crewneck T-Shirt | Gap,https://www.gap.com/browse/product.do?pid=241908032&cid=1127938&pcid=1127938&vid=1&grid=pds_4_3218_1&cpos=4&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20101614505748280559549,$18.00,"58% supima cotton, 39% modal, 3% spandex", , , , , ,39% ,3% , , , , , , 
