,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
11,Old Navy,Oversized Soft-Woven Short-Sleeve Shirt for Women,top,#613765,08/19/2020 17:30:38,Oversized Soft-Woven Short-Sleeve Shirt for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=613765012&cid=72091&pcid=72091&vid=1&grid=pds_11_1057_1&cpos=11&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$29.99,100% rayon, , , , ,100% , , , , , , , , 
12,Old Navy,Slim-Fit Scoop-Neck Henley Tee for Women,top,#608277,08/19/2020 17:30:46,Slim-Fit Scoop-Neck Henley Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=608277012&cid=72091&pcid=72091&vid=1&grid=pds_12_1057_1&cpos=12&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$15.00,"55% cotton, 34% polyester, 11% rayon", ,55% ,34% , ,11% , , , , , , , , 
13,Old Navy,Luxe Slub-Knit Tunic Tee for Women,top,#609889,08/19/2020 17:30:55,Luxe Slub-Knit Tunic Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=609889042&cid=72091&pcid=72091&vid=1&grid=pds_13_1057_1&cpos=13&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$26.99,"95% rayon, 5% spandex", , , , ,95% , ,5% , , , , , , 
14,Old Navy,Loose Slub-Knit Easy Pocket Tee for Women,top,#608239,08/19/2020 17:31:04,Loose Slub-Knit Easy Pocket Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=608239002&cid=72091&pcid=72091&vid=1&grid=pds_14_1057_1&cpos=14&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$13.00,"60% cotton, 40% modal®", ,60% , , , ,40% , , , , , , , 
15,Old Navy,Luxe V-Neck Tee for Women,top,#503945,08/19/2020 17:31:13,Luxe V-Neck Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=503945142&cid=72091&pcid=72091&vid=1&grid=pds_15_1057_1&cpos=15&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$12.00,"95% rayon , 5% spandex", , , , ,95% , ,5% , , , , , , 
16,Old Navy,Luxe Slub-Knit Tunic Tee for Women,top,#609889,08/19/2020 17:31:21,Luxe Slub-Knit Tunic Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=609889022&cid=72091&pcid=72091&vid=1&grid=pds_16_1057_1&cpos=16&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$26.99,"95% rayon, 5% spandex", , , , ,95% , ,5% , , , , , , 
17,Old Navy,Slim-Fit Rib-Knit Long-Sleeve Henley Tee for Women,top,#609945,08/19/2020 17:31:29,Slim-Fit Rib-Knit Long-Sleeve Henley Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=609945042&cid=72091&pcid=72091&vid=1&grid=pds_17_1057_1&cpos=17&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$19.99,"57% cotton, 38% polyester, 5% spandex", ,57% ,38% , , , ,5% , , , , , , 
18,Old Navy,Sweater-Knit Jersey 3/4-Sleeve Top for Women,top,#609477,08/19/2020 17:31:38,Sweater-Knit Jersey 3/4-Sleeve Top for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=609477002&cid=72091&pcid=72091&vid=1&grid=pds_18_1057_1&cpos=18&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$22.99,"55% rayon, 45% polyester", , ,45% , ,55% , , , , , , , , 
19,Old Navy,Slim-Fit Thermal-Knit Split-Neck Tank Top for Women,top,#579564,08/19/2020 17:31:47,Slim-Fit Thermal-Knit Split-Neck Tank Top for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=579564062&cid=72091&pcid=72091&vid=1&grid=pds_19_1057_1&cpos=19&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$12.00,"59% cotton, 39% polyester, 2% spandex", ,59% ,39% , , , ,2% , , , , , , 
20,Old Navy,EveryWear Graphic Slub-Knit Tee for Women,top,#611596,08/19/2020 17:31:55,EveryWear Graphic Slub-Knit Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=611596092&cid=72091&pcid=72091&vid=1&grid=pds_20_1057_1&cpos=20&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602,$10.00,100% cotton, ,100% , , , , , , , , , , , 
21,Old Navy,EveryWear Graphic Slub-Knit Tee for Women,top,#611596,08/19/2020 17:32:04,EveryWear Graphic Slub-Knit Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=611596052&cid=72091&pcid=72091&vid=1&grid=pds_21_1057_1&cpos=21&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602,$10.00,100% cotton, ,100% , , , , , , , , , , , 
22,Old Navy,EveryWear Striped Slub-Knit Tank Top for Women,top,#592714,08/19/2020 17:32:13,EveryWear Striped Slub-Knit Tank Top for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=592714002&cid=72091&pcid=72091&vid=1&grid=pds_22_1057_1&cpos=22&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602,$5.00,100% cotton, ,100% , , , , , , , , , , , 
