,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
148,Reformation,Plumeria Dress,dress,1306355OVL0XS,08/18/2020 18:13:19,Plumeria Dress - Reformation,https://www.thereformation.com/products/plumeria-dress?color=Olivia&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$298,this is a lightweight silk charmeuse fabric - 100% silk., , , , , , , , , , , , , 
149,Reformation,Nikita Dress Es,dress,1305189IRN014,08/18/2020 18:13:31,Nikita Dress Es - Reformation,https://www.thereformation.com/products/nikita-dress-es?color=Irene&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
150,Reformation,Laurent Dress,dress,1306249PPS0XS,08/18/2020 18:13:44,Laurent Dress - Reformation,https://www.thereformation.com/products/laurent-dress?color=Poppyseed&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$178,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
151,Reformation,Kris Relaxed Curve Jean,bottoms,1305247STA023,08/18/2020 18:13:56,Kris Relaxed Curve Jean - Reformation,https://www.thereformation.com/products/kris-relaxed-crop-jean?color=Shasta&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$128,"this is a rigid denim fabric made with 43% tencel ® lyocell, 40% recycled cotton and 17% organically grown cotton.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , , , , , , , , 
152,Reformation,Nikita Dress,dress,1303770MEE000,08/18/2020 18:14:08,Nikita Dress - Reformation,https://www.thereformation.com/products/nikita-dress?color=Mademoiselle&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
153,Reformation,Ronan Dress,dress,1306186IVO000,08/18/2020 18:14:21,Ronan Dress - Reformation,https://www.thereformation.com/products/ronan-dress?color=Ivory&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$278,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
154,Reformation,Kaila Dress,dress,1304813BLK0XS,08/18/2020 18:14:32,Kaila Dress - Reformation,https://www.thereformation.com/products/kaila-dress?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"eco cinch is a light weight, soft, stretch jersey fabric - 88% tencel ® lyocell, 12% spandex.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , ,12% , , , , , , 
155,Reformation,Sable Dress,dress,1306250IVY0XS,08/18/2020 18:14:45,Sable Dress - Reformation,https://www.thereformation.com/products/sable-dress?color=Ivy&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$198,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
156,Reformation,Liza High Straight Crop,other,1304304MGY023,08/18/2020 18:14:58,Liza High Straight Crop - Reformation,https://www.thereformation.com/products/liza-high-straight-crop?color=Montego+Destroyed&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"this is a comfort stretch denim that was sustainably made with 69% organically grown cotton, 30% tencel™ lyocell, and 1% elastane.", , , , , , , , , , ,1% , , 
157,Reformation,Zoe Skirt Es,bottoms,1306069BLK014,08/18/2020 18:15:11,Zoe Skirt Es - Reformation,https://www.thereformation.com/products/zoe-skirt-es?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$148,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
