,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
74,H&M,Knit Sweater,outterwear/jacket,0863646002,08/18/2020 17:00:40,Knit Sweater - Gray melange - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0863646002.html,$19.99,"polyester 52%, acrylic 41%, wool 4%, elastane 3%", , ,52%,41%, , , , , , ,3%, , 
75,H&M,Fitted Blazer,other,0568601006,08/18/2020 17:00:46,Fitted Blazer - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0568601006.html,$34.99,"lining: polyester 100%polyester 68%, viscose 30%, elastane 2%", , ,100%, , , , , , ,30%,2%, , 
76,H&M,Crêped Tie-hem Top,top,0932243002,08/18/2020 17:00:52,Crêped Tie-hem Top - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0932243002.html,$17.99,"elastane 98%, polyester 2%", , ,2%, , , , , , , ,98%, , 
77,H&M,Cotton T-shirt,top,0827968001,08/18/2020 17:00:59,Cotton T-shirt - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0827968001.html,$12.99,cotton 100%, ,100%, , , , , , , , , , , 
78,H&M,Sweatpants,bottoms,0547780001,08/18/2020 17:01:05,Sweatpants - Black - | H&M US,https://www2.hm.com/en_us/productpage.0547780001.html,$17.99,"cotton 59%, polyester 41%", ,59%,41%, , , , , , , , , , 
79,H&M,Printed Hoodie,outterwear/jacket,0909734001,08/18/2020 17:01:12,Printed Hoodie - Dark gray/NASA - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0909734001.html,$24.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
80,H&M,Jersey Turtleneck Top,top,0865929003,08/18/2020 17:01:18,Jersey Turtleneck Top - Light beige/leopard print - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0865929003.html,$9.99,"modal 86%, viscose 10%, elastane 4%", , , , , ,86%, , , ,10%,4%, , 
81,H&M,Embrace High Ankle Jeans,bottoms,0882899015,08/18/2020 17:01:24,Embrace High Ankle Jeans - Denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0882899015.html,$39.99,"cotton 91%, polyester 7%, elastane 2%", ,91%,7%, , , , , , , ,2%, , 
82,H&M,Smocked Top,top,0895002002,08/18/2020 17:01:31,Smocked Top - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0895002002.html,$17.99,"polyester 99%, elastane 1%", , ,99%, , , , , , , ,1%, , 
83,H&M,Jersey Turtleneck Top,top,0865929002,08/18/2020 17:01:38,Jersey Turtleneck Top - White/black striped - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0865929002.html,$9.99,"modal 58%, viscose 38%, elastane 4%", , , , , ,58%, , , ,38%,4%, , 
84,H&M,Drawstring T-shirt,top,0871281001,08/18/2020 17:01:46,Drawstring T-shirt - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0871281001.html,$12.99,cotton 100%, ,100%, , , , , , , , , , , 
85,H&M,Puff-sleeved Dress,dress,0910872001,08/18/2020 17:01:53,Puff-sleeved Dress - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0910872001.html,$29.99,shell: polyester 100%lining: polyester 100%, , ,100%, , , , , , , , , , 
86,H&M,Ribbed Cotton T-shirt,top,0800691007,08/18/2020 17:01:59,Ribbed Cotton T-shirt - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0800691007.html,$7.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
87,H&M,Shorts High Waist,bottoms,0816423004,08/18/2020 17:02:06,Shorts High Waist - Denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0816423004.html,$17.99,"cotton 79%, polyester 20%, elastane 1%", ,79%,20%, , , , , , , ,1%, , 
88,H&M,Long Jacket,outterwear/jacket,0781613001,08/18/2020 17:02:14,Long Jacket - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0781613001.html,$34.99,polyester 100%lining: polyester 100%, , ,100%, , , , , , , , , , 
89,H&M,Long T-shirt,top,0711053036,08/18/2020 17:02:22,Long T-shirt - Dark gray - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0711053036.html,$9.99,cotton 100%, ,100%, , , , , , , , , , , 
90,H&M,Smock-detail Dress,dress,0838834006,08/18/2020 17:02:29,Smock-detail Dress - Black/purple floral - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0838834006.html,$24.99,"polyester 97%, elastane 3%", , ,97%, , , , , , , ,3%, , 
91,H&M,Balloon-sleeved Hoodie,outterwear/jacket,0904424002,08/18/2020 17:02:36,Balloon-sleeved Hoodie - Lavender - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0904424002.html,$24.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
92,H&M,Drawstring Hoodie,outterwear/jacket,0874115001,08/18/2020 17:02:43,Drawstring Hoodie - Light purple/Pokémon - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0874115001.html,$29.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
93,H&M,Ankle-length Pull-on Pants,bottoms,0845790006,08/18/2020 17:02:50,Ankle-length Pull-on Pants - Black/checked - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0845790006.html,$24.99,"pocket lining: polyester 100%polyester 58%, viscose 27%, polyamide 12%, elastane 3%", , ,100%, , , , , ,12%,27%,3%, , 
94,H&M,Jersey Top,top,0733749010,08/18/2020 17:02:57,Jersey Top - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0733749010.html,$2.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
95,H&M,Oversized Printed T-shirt,top,0907693005,08/18/2020 17:03:04,Oversized Printed T-shirt - Dark blue/Mickey Mouse - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0907693005.html,$17.99,cotton 100%, ,100%, , , , , , , , , , , 
96,H&M,Jersey Paper-bag Pants,bottoms,0881751002,08/18/2020 17:03:12,Jersey Paper-bag Pants - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0881751002.html,$24.99,"polyester 72%, viscose 24%, elastane 4%", , ,72%, , , , , , ,24%,4%, , 
97,H&M,Ribbed Camisole Top,top,0589722006,08/18/2020 17:03:20,Ribbed Camisole Top - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0589722006.html,$12.99,"viscose 70%, polyamide 30%", , , , , , , , ,30%,70%, , , 
98,H&M,Short T-shirt,top,0855793002,08/18/2020 17:03:26,Short T-shirt - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0855793002.html,$9.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
99,H&M,Cotton Tank Top,top,0841383003,08/18/2020 17:03:33,Cotton Tank Top - White - | H&M US,https://www2.hm.com/en_us/productpage.0841383003.html,$4.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
100,H&M,Rib-knit Cardigan,outterwear/jacket,0878800003,08/18/2020 17:03:39,Rib-knit Cardigan - Beige - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0878800003.html,$39.99,"acrylic 72%, polyamide 25%, elastane 3%", , , ,72%, , , , ,25%, ,3%, , 
101,H&M,Cotton Jersey Top,top,0875329001,08/18/2020 17:03:47,Cotton Jersey Top - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0875329001.html,$9.99,cotton 100%, ,100%, , , , , , , , , , , 
102,H&M,Belted Dress,dress,0892850002,08/18/2020 17:03:55,Belted Dress - Cream - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0892850002.html,$34.99,"polyester 92%, viscose 8%", , ,92%, , , , , , ,8%, , , 
103,H&M,Pull-on Shorts,bottoms,0883068004,08/18/2020 17:04:02,Pull-on Shorts - Khaki green - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0883068004.html,$12.99,viscose 100%, , , , , , , , , ,100%, , , 
104,H&M,Wide-cut Paper-bag Jeans,bottoms,0862738003,08/18/2020 17:04:08,Wide-cut Paper-bag Jeans - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0862738003.html,$19.99,"cotton 78%, polyester 22%", ,78%,22%, , , , , , , , , , 
105,H&M,Stretch Shirt,top,0850917001,08/18/2020 17:04:15,Stretch Shirt - White - | H&M US,https://www2.hm.com/en_us/productpage.0850917001.html,$17.99,"cotton 73%, polyester 23%, elastane 4%", ,73%,23%, , , , , , , ,4%, , 
106,H&M,Modal-blend Dress,dress,0895804005,08/18/2020 17:04:20,Modal-blend Dress - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0895804005.html,$17.99,"cotton 50%, modal 50%", ,50%, , , ,50%, , , , , , , 
107,H&M,Skinny Regular Ankle Jeans,bottoms,0898596002,08/18/2020 17:04:27,Skinny Regular Ankle Jeans - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0898596002.html,$9.99,"cotton 77%, polyester 22%, elastane 1%", ,77%,22%, , , , , , , ,1%, , 
108,H&M,Twill Shacket,other,0919037002,08/18/2020 17:04:33,Twill Shacket - Light turquoise - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0919037002.html,$29.99,cotton 100%, ,100%, , , , , , , , , , , 
109,H&M,Cropped Sweatshirt,top,0911195002,08/18/2020 17:04:39,Cropped Sweatshirt - Turquoise - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0911195002.html,$24.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
110,H&M,Fine-knit Top,top,0574109039,08/18/2020 17:04:44,Fine-knit Top - Black/gray striped - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0574109039.html,$17.99,"acrylic 44%, viscose 40%, polyamide 16%", , , ,44%, , , , ,16%,40%, , , 
111,H&M,Smocked Blouse,top,0898568001,08/18/2020 17:04:51,Smocked Blouse - Black/white plaid - | H&M US,https://www2.hm.com/en_us/productpage.0898568001.html,$29.99,"cotton 58%, polyester 37%, polyamide 5%", ,58%,37%, , , , , ,5%, , , , 
112,H&M,High-split Skirt,bottoms,0842062003,08/18/2020 17:04:58,High-split Skirt - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0842062003.html,$24.99,viscose 100%, , , , , , , , , ,100%, , , 
113,H&M,V-neck Top,top,0801673001,08/18/2020 17:05:03,V-neck Top - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0801673001.html,$12.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
114,H&M,Hoodie,outterwear/jacket,0456163083,08/18/2020 17:05:15,Hoodie - White - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0456163083.html,$19.99,"cotton 60%, polyester 40%", ,60%,40%, , , , , , , , , , 
115,H&M,Denim Paper-bag Shorts,bottoms,0837741001,08/18/2020 17:05:22,Denim Paper-bag Shorts - Light denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0837741001.html,$29.99,"shell: cotton 97%, other fibers 3%pocket lining: polyester 65%, cotton 35%", ,97%,65%, , , , , , , , , , 
116,H&M,Calf-length Dress,dress,0852374013,08/18/2020 17:05:29,Calf-length Dress - White/black patterned - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0852374013.html,$19.99,viscose 100%, , , , , , , , , ,100%, , , 
