,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
160,Forever 21,NASA Shuttle Launch Graphic Tee,top,Product Code : 2000409599,08/18/2020 17:09:30,NASA Shuttle Launch Graphic Tee | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000409599,$17.99,- 100% cotton, ,100% , , , , , , , , , , , 
161,Forever 21,Foldover Satin Cami Bodysuit,top,Product Code : 2000412029,08/18/2020 17:09:39,Foldover Satin Cami Bodysuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000412029,$18.00,"- shell 1: 97% polyester, 3% spandex- shell 2: 100% polyester", , ,97% , , , ,3% , , , , , , 
162,Forever 21,Pajama Top & Shorts Set,top,Product Code : 2000416065,08/18/2020 17:09:46,Pajama Top & Shorts Set | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/pajamas/2000416065,$30.00,"- 96% polyester, 4% spandex", , ,96% , , , ,4% , , , , , , 
163,Forever 21,Ribbed Floral Print Bodysuit,bodysuit/romper,Product Code : 2000408506,08/18/2020 17:09:56,Ribbed Floral Print Bodysuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000408506,$10.00,"- 92% rayon, 8% spandex", , , , ,92% , ,8% , , , , , , 
164,Forever 21,Satin Cheetah Print Cami,top,Product Code : 2000414779,08/18/2020 17:10:03,Satin Cheetah Print Cami | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000414779,$15.00,- 100% polyester, , ,100% , , , , , , , , , , 
165,Forever 21,Ditsy Floral Print Cami,top,Product Code : 2000414778,08/18/2020 17:10:09,Ditsy Floral Print Cami | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000414778,$15.00,- 100% polyester, , ,100% , , , , , , , , , , 
166,Forever 21,Ribbed Knit Bodysuit,bodysuit/romper,Product Code : 2000404761,08/18/2020 17:10:15,Ribbed Knit Bodysuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000404761,$17.99,"- 77% polyester, 19% rayon, 4% spandex", , ,77% , ,19% , ,4% , , , , , , 
167,Forever 21,Tie-Dye Drawstring Joggers,bottoms,Product Code : 2000403454,08/18/2020 17:10:21,Tie-Dye Drawstring Joggers | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000403454,$24.99,- 100% cotton spandex, ,100% , , , , , , , , , , , 
168,Forever 21,Puff-Sleeve Mini Dress,dress,Product Code : 2000411612,08/18/2020 17:10:26,Puff-Sleeve Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000411612,$27.99,"- shell: 97% cotton, 3% spandex- lining: 100% cotton", ,97% , , , , ,3% , , , , , , 
169,Forever 21,Leopard Print Top,top,Product Code : 2000407914,08/18/2020 17:10:36,Leopard Print Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000407914,$19.99,- 100% polyester, , ,100% , , , , , , , , , , 
170,Forever 21,Ribbed Seamless Thong Bodysuit,bodysuit/romper,Product Code : 2000406233,08/18/2020 17:10:42,Ribbed Seamless Thong Bodysuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000406233,$12.99,"- 92% nylon, 8% spandex", , , , , , ,8% ,92% , , , , , 
171,Forever 21,Pickup-Sleeve Mini Dress,dress,Product Code : 2000408072,08/18/2020 17:10:49,Pickup-Sleeve Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000408072,$28.00,"- shell 1: 88% polyester, 9% rayon, 3% spandex- shell 2: 100% polyester", , ,88% , ,9% , ,3% , , , , , , 
172,Forever 21,Cable Knit Drop-Sleeve Sweater,outterwear/jacket,Product Code : 2000411389,08/18/2020 17:10:55,Cable Knit Drop-Sleeve Sweater | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000411389,$22.00,"- 64% acrylic, 36% polyester", , ,36% ,64% , , , , , , , , , 
173,Forever 21,Tie-Dye Waffle Knit Top,top,Product Code : 2000414884,08/18/2020 17:11:02,Tie-Dye Waffle Knit Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000414884,$18.00, , , , , , , , , , , , , , 
174,Forever 21,Leopard Print Mini Dress,dress,Product Code : 2000412887,08/18/2020 17:11:08,Leopard Print Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000412887,$18.00,"- 55% viscose, 45% rayon", , , , ,45% , , , , ,55% , , , 
175,Forever 21,Pussycat Bow Button-Front Top,top,Product Code : 2000412027,08/18/2020 17:11:15,Pussycat Bow Button-Front Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000412027,$18.00,- 100% polyester, , ,100% , , , , , , , , , , 
176,Forever 21,Open-Shoulder M-Slit Maxi Dress,dress,Product Code : 2000415773,08/18/2020 17:11:21,Open-Shoulder M-Slit Maxi Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000415773,$35.00,- 100% viscose, , , , , , , , , ,100% , , , 
177,Forever 21,Seamless Ribbed Bralette,ignore,Product Code : 2000406705,08/18/2020 17:11:27,Seamless Ribbed Bralette | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/lingerie/2000406705,$9.99,"- 55% rayon, 40% nylon, 5% spandex", , , , ,55% , ,5% ,40% , , , , , 
178,Forever 21,Ribbed Surplice Crop Top,top,Product Code : 2000407692,08/18/2020 17:11:34,Ribbed Surplice Crop Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000407692,$12.00,"- 81% rayon, 19% nylon", , , , ,81% , , ,19% , , , , , 
179,Forever 21,Floral Puff-Sleeve Mini Dress,dress,Product Code : 2000409007,08/18/2020 17:11:39,Floral Puff-Sleeve Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000409007,$27.99,- shell 1: 100% polyester- shell 2: 100% cotton, ,100% ,100% , , , , , , , , , , 
180,Forever 21,Ruffle Wide-Leg Jumpsuit,bodysuit/romper,Product Code : 2000409612,08/18/2020 17:11:45,Ruffle Wide-Leg Jumpsuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/rompers-jumpsuits/2000409612,$34.99,"- 59% cotton, 41% lyocell", ,59% , , , , , , , , , , ,41% 
181,Forever 21,Freedom Rider Graphic Tee,top,Product Code : 2000410469,08/18/2020 17:11:51,Freedom Rider Graphic Tee | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410469,$14.99,- 100% cotton, ,100% , , , , , , , , , , , 
182,Forever 21,Tie-Belt Flare Jeans,bottoms,Product Code : 2000403105,08/18/2020 17:11:58,Tie-Belt Flare Jeans | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottom_jeans/2000403105,$27.99,"- 74% cotton, 23% polyester, 3% spandex", ,74% ,23% , , , ,3% , , , , , , 
183,Forever 21,Ribbed Scoop Neck Tee,top,Product Code : 2000408105,08/18/2020 17:12:05,Ribbed Scoop Neck Tee | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000408105,$9.99, , , , , , , , , , , , , , 
184,Forever 21,World Tour Graphic Top,top,Product Code : 2000410418,08/18/2020 17:12:11,World Tour Graphic Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410418,$17.99,- 100% cotton, ,100% , , , , , , , , , , , 
185,Forever 21,Dino-Snore Graphic Pajama Set,other,Product Code : 2000411571,08/18/2020 17:12:17,Dino-Snore Graphic Pajama Set | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/pajamas/2000411571,$14.99,- 100% cotton, ,100% , , , , , , , , , , , 
186,Forever 21,Peasant-Sleeve Mini Dress,dress,Product Code : 2000411237,08/18/2020 17:12:24,Peasant-Sleeve Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000411237,$19.99,- 100% cotton, ,100% , , , , , , , , , , , 
187,Forever 21,Floral Print Wraparound Crop Top,top,Product Code : 2000408767,08/18/2020 17:12:29,Floral Print Wraparound Crop Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000408767,$22.00,- 100% rayon, , , , ,100% , , , , , , , , 
188,Forever 21,Pleated Houndstooth Mini Skirt,bottoms,Product Code : 2000411029,08/18/2020 17:12:36,Pleated Houndstooth Mini Skirt | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000411029,$12.00,"- 88% polyester, 10% rayon, 2% spandex", , ,88% , ,10% , ,2% , , , , , , 
