,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
16,American Apparel,Cotton Spandex Sleeveless Bodysuit,bodysuit/romper,rsa8382w,08/18/2020 14:50:43,Cotton Spandex Sleeveless Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-sleeveless-bodysuit/,$8.83 - $26.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
17,American Apparel,Cotton Spandex Tank Bodysuit,bodysuit/romper,rsa8336w,08/18/2020 14:50:55,Cotton Spandex Tank Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-tank-bodysuit/,$9.29 - $28.00, , , , , , , , , , , , , , 
18,American Apparel,Cotton Spandex Turtleneck Bodysuit,bodysuit/romper,rsa83394w,08/18/2020 14:51:10,Cotton Spandex Turtleneck Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-turtleneck-bodysuit/,$8.18 - $32.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
19,American Apparel,Crop Wide Leg Jean,bottoms,dm3627w,08/18/2020 14:51:22,Crop Wide Leg Jean | American Apparel,https://americanapparel.com/crop-wide-leg-jean/,$30.20 - $78.00,100% cotton, ,100% , , , , , , , , , , , 
20,American Apparel,Cropped Fisherman Pullover,outterwear/jacket,kwcfp-cw,08/18/2020 14:51:35,Cropped Fisherman Pullover | American Apparel,https://americanapparel.com/cropped-fisherman-pullover/,$18.06 - $58.00,100% cotton, ,100% , , , , , , , , , , , 
21,American Apparel,Cropped Fisherman Pullover,outterwear/jacket,kwcfp-cw,08/18/2020 14:51:47,Cropped Fisherman Pullover | American Apparel,https://americanapparel.com/cropped-fisherman-pullover/?&defaultImageAlt=Cropped%20Fisherman%20Pullover%20(Ivory),$18.06 - $58.00,100% cotton, ,100% , , , , , , , , , , , 
22,American Apparel,Cropped Fisherman Pullover,outterwear/jacket,kwcfp-cw,08/18/2020 14:51:58,Cropped Fisherman Pullover | American Apparel,https://americanapparel.com/cropped-fisherman-pullover/?&defaultImageAlt=Cropped%20Fisherman%20Pullover%20(Zebra),$18.06 - $58.00,100% cotton, ,100% , , , , , , , , , , , 
23,American Apparel,Denim Button Front A-Line Mini Skirt,bottoms,rsadm320w,08/18/2020 14:52:12,Denim Button Front A-Line Mini Skirt | American Apparel,https://americanapparel.com/denim-button-front-a-line-mini-skirt/,$26.07 - $58.00, , , , , , , , , , , , , , 
24,American Apparel,Fine Jersey Fitted T-Shirt,top,2102w,08/18/2020 14:52:29,Fine Jersey Fitted T-Shirt | American Apparel,https://americanapparel.com/fine-jersey-fitted-t-shirt/,$5.19 - $15.00,100% cotton, ,100% , , , , , , , , , , , 
25,American Apparel,Fisherman Bell Sleeve Sweater,outterwear/jacket,kwfbsw,08/18/2020 14:52:42,Fisherman Bell Sleeve Sweater | American Apparel,https://americanapparel.com/fisherman-bell-sleeve-sweater/,$13.19 - $58.00, , , , , , , , , , , , , , 
