,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
10,JCPenny,Worthington-Womens Round Neck Short Sleeve T-Shirt,top,8330244,08/18/2020 19:09:08,Worthington-Womens Round Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/worthington-womens-round-neck-short-sleeve-t-shirt/ppr5007974112?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$21.99,"fabric content: 95% polyester, 5% spandex", , ,95% , , , ,5% , , , , , , 
11,JCPenny,Liz Claiborne Womens Round Neck Short Sleeve Blouse,top,8140409,08/18/2020 19:09:13,Liz Claiborne Womens Round Neck Short Sleeve Blouse - JCPenney,https://www.jcpenney.com/p/liz-claiborne-womens-round-neck-short-sleeve-blouse/ppr5007945181?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$18,"fabric content: 95% polyester, 5% spandex", , ,95% , , , ,5% , , , , , , 
12,JCPenny,Liz Claiborne Womens V Neck Sleeveless Tank Top,top,8510524,08/18/2020 19:09:18,"Liz Claiborne Womens V Neck Sleeveless Tank Top, Color: White - JCPenney",https://www.jcpenney.com/p/liz-claiborne-womens-v-neck-sleeveless-tank-top/ppr5007931854?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$18,"fabric content: 73% polyester, 27% viscose", , ,73% , , , , , , ,27% , , , 
13,JCPenny,a.n.a Womens V Neck Sleeveless Tank Top,top,8420377,08/18/2020 19:09:24,a.n.a Womens V Neck Sleeveless Tank Top - JCPenney,https://www.jcpenney.com/p/ana-womens-v-neck-sleeveless-tank-top/ppr5007986279?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$14.99,"fabric content: 59% cotton, 41% rayon", ,59% , , ,41% , , , , , , , , 
14,JCPenny,Xersion Womens U Neck Short Sleeve T-Shirt,top,8400514,08/18/2020 19:09:29,"Xersion Womens U Neck Short Sleeve T-Shirt, Color: Banan Appeal - JCPenney",https://www.jcpenney.com/p/xersion-womens-u-neck-short-sleeve-t-shirt/ppr5007946988?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$17.99,fabric content: 100% polyester, , ,100% , , , , , , , , , , 
15,JCPenny,Liz Claiborne Womens Keyhole Neck Short Sleeve Blouse,top,8140408,08/18/2020 19:09:35,Liz Claiborne Womens Keyhole Neck Short Sleeve Blouse - JCPenney,https://www.jcpenney.com/p/liz-claiborne-womens-keyhole-neck-short-sleeve-blouse/ppr5007945180?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$18,"fabric content: 95% polyester, 5% spandex", , ,95% , , , ,5% , , , , , , 
16,JCPenny,Artesia Womens V Neck Short Sleeve Knit Embroidered Blouse,top,6265029,08/18/2020 19:09:40,"Artesia Womens V Neck Short Sleeve Knit Embroidered Blouse, Color: Blueberry - JCPenney",https://www.jcpenney.com/p/artesia-womens-v-neck-short-sleeve-knit-embroidered-blouse/ppr5007947271?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$31.99,"fabric content: 95% rayon, 5% spandex", , , , ,95% , ,5% , , , , , , 
17,JCPenny,Xersion Womens V Neck Short Sleeve T-Shirt,top,8400517,08/18/2020 19:09:45,Xersion Womens V Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/xersion-womens-v-neck-short-sleeve-t-shirt/ppr5007947275?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$12.99,"fabric content: 92% polyester, 8% spandex", , ,92% , , , ,8% , , , , , , 
18,JCPenny,Worthington Womens Round Neck Short Sleeve Blouse,top,8330241,08/18/2020 19:09:51,Worthington Womens Round Neck Short Sleeve Blouse - JCPenney,https://www.jcpenney.com/p/worthington-womens-round-neck-short-sleeve-blouse/ppr5007973987?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$21.99,fabric content: 100% cotton, ,100% , , , , , , , , , , , 
19,JCPenny,Black Label by Evan-Picone Womens Cowl Neck Short Sleeve Blouse,top,2282091,08/18/2020 19:09:56,"Black Label by Evan-Picone Womens Cowl Neck Short Sleeve Blouse, Color: Summer Blush - JCPenney",https://www.jcpenney.com/p/black-label-by-evan-picone-womens-cowl-neck-short-sleeve-blouse/ppr5007961368?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new%7Ccollection&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$42,"fabric content: 96% polyester, 4% spandex", , ,96% , , , ,4% , , , , , , 
